week_in_year,adults,small_instars,total_captures,large_instars,degree_days,avgadults,avgsmall_instars,avgtotal_captures,avglarge_instars,avgdegree_days,temperature,humidity,cum_degree_days,avgcum_degree_days
2022-17,,,,,,,,,,,,,,
2022-18,88.86666666666667,0.0,88.86666666666667,0.0,1043.4000610351613,2.692929292929293,0.0,2.692929292929293,0.0,31.618183667732165,17.048196636822006,59.13113275613276,2173.9997924804875,65.8787815903178
2022-19,199.13333333333333,0.0,199.13333333333333,0.0,3908.500231933612,1.6875706214689266,0.0,1.6875706214689266,0.0,33.12288332147129,17.084559831165155,61.73570419693301,11408.700360107507,96.68390135684326
2022-20,244.73333333333332,0.0,244.73333333333332,0.0,5505.900360107443,1.9270341207349082,0.0,1.9270341207349082,0.0,43.35354614257829,18.226989896616786,64.86938166820056,17801.00075073253,140.16536024198845
2022-21,150.26666666666668,0.0,150.26666666666668,0.0,7041.800744628928,1.1298245614035087,0.0,1.1298245614035087,0.0,52.94587026036788,19.23383048401421,70.30429889659213,25986.001446533344,195.3834695228071
2022-22,173.02965367965368,0.0,173.02965367965368,0.0,6635.10043334963,1.2912660722362215,0.0,1.2912660722362215,0.0,49.515674875743514,19.476508331027723,58.277031509121066,32740.701788330243,244.3335954353003
2022-23,130.57987012987013,6.52631578947368,137.1061859193438,0.0,7082.300427246118,0.9672582972582973,0.04834307992202726,1.0156013771803245,0.0,52.461484646267536,18.938751078994006,64.35080220191331,39951.90222167988,295.940016456888
2022-24,95.39047619047619,5.52631578947368,100.91679197994986,0.0,6583.800042724629,0.7226551226551227,0.04186602870813394,0.7645211513632566,0.0,49.87727305094416,19.550823310661244,73.01900853775854,45683.402160644735,346.08638000488435
2022-25,100.0,10.94736842105263,110.94736842105263,0.0,8513.699719238304,0.7407407407407407,0.08109161793372319,0.8218323586744639,0.0,63.06444236472817,20.631400972127516,69.04385655496766,55011.50200805687,407.49260746708796
2022-26,180.47692307692307,325.3333333333333,520.0769230769231,14.266666666666662,10559.800408935567,1.3672494172494172,2.4646464646464645,3.93997668997669,0.10808080808080806,79.99848794648157,23.828317725131434,59.14728070750798,64458.40233154322,488.32122978441834
